"index","id","roblox_assetid","roblox_rap","roblox_value","robux_volume_30d_total","popularity_position","is_valued","is_rare","is_projected","roblox_name","roblox_acronym","roblox_lowestprice","price_updated_at","went_limited_at"
0,9,21070012,13577229,20000000,0,2499,true,true,false,"Dominus Empyreus","Emp",600000000,2023-04-29 18:23:17.345,2010-01-23 01:25:00.407
1,18,48545806,28059680,19000000,0,2487,true,true,false,"Dominus Frigidus","Frig",333333333,2023-01-20 20:53:26.639,2011-03-24 22:32:06.893
2,21,31101391,1973087,15000000,0,2490,true,true,false,"Dominus Infernus","Inf",91000000,2023-08-07 01:11:12.910,2010-07-20 21:11:42.700
3,51,128158708,1077591,13000000,0,2481,true,true,false,"Duke of the Federation","DotF",100000000,2023-07-20 13:33:58.246,2013-08-30 00:00:40.250
4,23,162067148,14321557,12000000,0,2493,true,true,false,"Dominus Astra","Astra",99999999,2023-07-03 14:54:48.558,2014-06-18 23:51:11.057
5,11,88885069,1277922,10000000,0,2437,true,true,false,"Lord of the Federation","LotF",618033988,2021-04-07 20:54:41.144,2012-08-03 19:42:34.660
6,24,72082328,5412663,10000000,1018,2475,true,true,false,"Red Sparkle Time Fedora","RSTF",42900000,2023-08-07 09:49:06.004,2012-02-11 01:20:43.273
7,2044,33171947,939382,10000000,0,2483,true,true,false,"Bling $$ Necklace","Bling",150000000,2023-08-04 21:32:59.183,2011-11-09 06:00:00.000
8,2059,9910070,492113,8000000,0,2411,true,true,false,"The Wanwood Crown","WWC",0,2023-04-20 20:53:06.621,2009-10-06 05:00:00.000
9,32,63043890,9149676,7500000,35000000,2484,true,true,false,"Purple Sparkle Time Fedora","PSTF",21000000,2023-07-31 21:37:27.274,2011-10-03 20:58:29.803
10,31,119916949,9802938,6600000,40380000,2452,true,true,false,"Midnight Blue Sparkle Time Fedora","MBSTF",19750000,2023-07-21 03:09:05.171,2013-06-21 22:13:59.397
11,25,64082730,3928213,6500000,0,2033,true,true,false,"Rainbow Shaggy","RS",44444444,2023-07-15 20:40:20.167,2011-10-20 20:59:05.567
12,64,26943368,576204,6500000,0,2156,true,true,false,"Eccentric Shop Teacher","EST",299999999,2022-12-03 21:00:37.220,2010-05-23 05:00:00.000
13,20,1031429,5726071,6000000,0,2360,true,true,false,"Domino Crown","DC",6.942e+10,2023-07-19 04:12:48.573,2010-07-29 05:00:00.000
14,2045,1114768,0,5500000,0,2304,true,true,false,"The Kleos Aphthiton","Kleos",30000000,2023-07-02 14:46:54.096,2017-02-19 06:00:00.000
15,50,100929604,4586382,5500000,15000000,2209,true,true,false,"Green Sparkle Time Fedora","GSTF",12989898,2023-07-26 18:23:18.469,2012-12-18 23:36:50.577
16,2055,207207782,1055760,5500000,0,2270,true,true,false,"Lady of the Federation","LaotF",59999999,2023-08-03 09:54:48.417,2015-01-23 18:11:50.260
17,16449,2830437685,3808846,5200000,0,2403,true,true,false,"Emerald Valkyrie","EV",10500000,2023-08-04 21:35:00.543,2019-02-07 20:52:24.497
18,33,1158416,2275664,4800000,0,2306,true,true,false,"Eerie Pumpkin Head","Eerie",27676767,2023-07-13 06:43:14.145,2009-10-06 05:00:00.000
19,36,293316452,2008237,4800000,0,918,true,true,false,"Archduke of the Federation","AotF",44444444,2023-08-01 09:39:04.654,2015-09-04 20:33:36.780
20,75,259423244,4238884,4800000,13500000,2454,true,true,false,"Black Sparkle Time Fedora","BSTF",14941413,2023-08-05 18:58:18.095,2015-06-16 21:10:39.433
21,43,124730194,6000977,4200000,20396000,2473,true,false,false,"Blackvalk","BV",7978000,2023-08-07 09:48:23.248,2015-05-23 05:00:00.000
22,10,22850569,4439998,4000000,0,2197,true,true,false,"Red Bandana of SQL Injection","SQL",19999999,2023-08-04 11:33:48.656,2010-02-24 18:21:09.723
23,2133,99033296,4000000,4000000,0,2400,false,true,false,"brayden99's ROBLOX Tablet","",0,2021-04-07 20:54:41.144,2012-11-27 18:56:30.457
24,19774,335080779,7028998,4000000,0,1800,true,true,false,"Dominus Pittacium","Tix Dom",8000000,2023-08-01 21:59:17.725,2022-07-05 09:54:45.000
25,28,23705521,859086,4000000,0,1595,true,true,false,"): Euro 180","Euro",25000000,2023-07-27 02:09:13.981,2010-03-12 06:00:00.000
26,52,16652251,2577028,3800000,0,2100,true,true,false,"Red Tango","RT",12000000,2023-08-07 04:38:25.380,2009-10-07 20:42:38.397
27,55,334663683,5266397,3800000,15400000,945,true,true,false,"Pink Sparkle Time Fedora","PiSTF",9000000,2023-07-31 17:50:46.019,2015-12-23 00:09:07.137
28,92,493476042,2898119,3400000,4999999,1748,true,true,false,"Sky Blue Sparkle Time Fedora","SBSTF",6969695,2023-08-07 09:47:53.621,2016-09-01 22:43:34.663
29,108,1180433861,1980926,3400000,0,2392,true,true,false,"Sparkle Time Valkyrie","STV",6599999,2023-08-06 21:25:12.476,2017-11-18 06:00:00.000
30,48,138932314,4075007,3300000,4800000,2407,true,false,false,"Dominus Aureus","Aur",6750000,2023-07-28 22:16:14.485,2014-11-29 06:00:00.000
31,87,215751161,6969690,3000000,0,2066,true,true,true,"Orange Sparkle Time Fedora","OSTF",19875649,2023-07-21 19:08:34.604,2015-02-14 00:35:53.950
32,66,147180077,1357500,2900000,0,2340,true,true,false,"Teal Sparkle Time Fedora","TSTF",4367220,2023-08-07 13:13:31.680,2014-02-21 23:26:23.480
