"index","average_price","devex value (USD)","volume","date"
0,168125,588.4375,30,2011-03-24 00:00:00.000
1,183000,640.5,3,2011-03-25 00:00:00.000
2,40000,140,1,2011-03-28 00:00:00.000
3,250000,875,1,2011-03-30 00:00:00.000
4,278000,973,1,2011-03-31 00:00:00.000
5,25291,88.5185,2,2011-04-01 00:00:00.000
6,20000,70,1,2011-04-17 00:00:00.000
7,152000,532,2,2011-04-19 00:00:00.000
8,280000,980,1,2011-05-01 00:00:00.000
9,300555,1051.9425,1,2011-05-12 00:00:00.000
10,250000,875,1,2011-05-20 00:00:00.000
11,255000,892.5,1,2011-06-02 00:00:00.000
12,222000,777,1,2011-06-03 00:00:00.000
13,266000,931,1,2011-06-04 00:00:00.000
14,60000,210,1,2011-06-07 00:00:00.000
15,19080,66.78,1,2011-06-13 00:00:00.000
16,293500,1027.25,1,2011-06-18 00:00:00.000
17,261331,914.6585,1,2011-06-21 00:00:00.000
18,20000,70,1,2011-06-23 00:00:00.000
19,18000,63,1,2011-06-24 00:00:00.000
20,212000,742,1,2011-06-28 00:00:00.000
21,17000,59.5,1,2011-07-01 00:00:00.000
22,15000,52.5,1,2011-07-02 00:00:00.000
23,300000,1050,1,2011-07-03 00:00:00.000
24,110632,387.212,3,2011-07-05 00:00:00.000
25,13315,46.6025,2,2011-07-06 00:00:00.000
26,11489,40.2115,1,2011-07-13 00:00:00.000
27,10500,36.75,1,2011-07-19 00:00:00.000
28,333334,1166.669,1,2011-07-23 00:00:00.000
29,20000,70,1,2011-07-27 00:00:00.000
30,326500,1142.75,1,2012-01-10 00:00:00.000
31,300000,1050,1,2012-01-11 00:00:00.000
32,80000,280,1,2012-01-21 00:00:00.000
33,420000,1470,1,2012-01-23 00:00:00.000
34,56000,196,1,2012-02-01 00:00:00.000
35,400000,1400,1,2012-02-12 00:00:00.000
36,415000,1452.5,1,2012-02-22 00:00:00.000
37,666666,2333.331,1,2012-03-20 00:00:00.000
38,500000,1750,1,2012-03-29 00:00:00.000
39,800000,2800,1,2012-03-30 00:00:00.000
40,2235528,7824.348,12,2012-04-01 00:00:00.000
41,750000,2625,1,2012-04-03 00:00:00.000
42,652500,2283.75,2,2012-04-05 00:00:00.000
43,400000,1400,1,2012-04-06 00:00:00.000
44,720000,2520,1,2012-04-19 00:00:00.000
45,100000,350,1,2012-04-22 00:00:00.000
46,50,0.17500000000000002,2,2012-05-03 00:00:00.000
47,850000,2975,1,2012-07-04 00:00:00.000
48,1190000,4165,1,2014-04-06 00:00:00.000
49,970000,3395,1,2014-06-30 00:00:00.000
50,1400000,4900,1,2014-07-16 00:00:00.000
51,1400000,4900,1,2014-07-18 00:00:00.000
52,1300000,4550,1,2014-09-19 00:00:00.000
53,1500000,5250,1,2015-01-13 00:00:00.000
54,1825000,6387.5,1,2015-02-01 00:00:00.000
55,3000000,10500,1,2015-06-26 00:00:00.000
56,4344000,15204,1,2015-12-11 00:00:00.000
57,2300000,8050,1,2016-01-24 00:00:00.000
58,2600000,9100,1,2021-10-08 00:00:00.000
59,200000000,700000,1,2022-12-03 00:00:00.000
60,55000000,192500,1,2023-01-19 00:00:00.000
