"index","average_price","devex value (USD)","volume","date"
0,3226,11.291,194,2012-07-31 00:00:00.000
1,1750,6.125,194,2012-08-01 00:00:00.000
2,2639,9.2365,146,2012-08-02 00:00:00.000
3,2365,8.2775,108,2012-08-03 00:00:00.000
4,2142,7.497,69,2012-08-04 00:00:00.000
5,2048,7.168,85,2012-08-05 00:00:00.000
6,2010,7.035,73,2012-08-06 00:00:00.000
7,2468,8.638,52,2012-08-07 00:00:00.000
8,2570,8.995000000000001,39,2012-08-08 00:00:00.000
9,2337,8.1795,37,2012-08-09 00:00:00.000
10,2249,7.8715,46,2012-08-10 00:00:00.000
11,2167,7.5845,43,2012-08-11 00:00:00.000
12,2377,8.3195,33,2012-08-12 00:00:00.000
13,2225,7.7875000000000005,54,2012-08-13 00:00:00.000
14,2115,7.4025,39,2012-08-14 00:00:00.000
15,1890,6.615,38,2012-08-15 00:00:00.000
16,2058,7.203,28,2012-08-16 00:00:00.000
17,2215,7.7525,40,2012-08-17 00:00:00.000
18,2642,9.247,25,2012-08-18 00:00:00.000
19,2313,8.0955,34,2012-08-19 00:00:00.000
20,2157,7.5495,26,2012-08-20 00:00:00.000
21,2401,8.4035,25,2012-08-21 00:00:00.000
22,2387,8.3545,26,2012-08-22 00:00:00.000
23,2060,7.21,26,2012-08-23 00:00:00.000
24,2185,7.6475,35,2012-08-24 00:00:00.000
25,2274,7.9590000000000005,41,2012-08-25 00:00:00.000
26,2215,7.7525,27,2012-08-26 00:00:00.000
27,1904,6.664,25,2012-08-27 00:00:00.000
28,1926,6.7410000000000005,28,2012-08-28 00:00:00.000
29,2210,7.735,29,2012-08-29 00:00:00.000
30,2479,8.6765,9,2012-08-30 00:00:00.000
31,2222,7.777,44,2012-08-31 00:00:00.000
32,1969,6.8915,41,2012-09-01 00:00:00.000
33,1997,6.9895000000000005,36,2012-09-02 00:00:00.000
34,1746,6.111,42,2012-09-03 00:00:00.000
35,1941,6.7935,26,2012-09-04 00:00:00.000
