"index","average_price","devex value (USD)","volume","date"
0,272999,955.4965,108,2013-06-22 00:00:00.000
1,94000,329,1,2014-03-14 00:00:00.000
2,117500,411.25,2,2014-03-16 00:00:00.000
3,90000,315,1,2014-03-29 00:00:00.000
4,97000,339.5,1,2014-05-02 00:00:00.000
5,91600,320.6,2,2014-05-11 00:00:00.000
6,100000,350,1,2014-05-13 00:00:00.000
7,105000,367.5,1,2014-05-20 00:00:00.000
8,100000,350,1,2014-05-23 00:00:00.000
9,130000,455,1,2014-06-29 00:00:00.000
10,145000,507.5,1,2014-07-10 00:00:00.000
11,146000,511,1,2014-07-13 00:00:00.000
12,180000,630,1,2014-07-19 00:00:00.000
13,176000,616,1,2014-07-20 00:00:00.000
14,195000,682.5,1,2014-07-25 00:00:00.000
15,200000,700,1,2014-07-29 00:00:00.000
16,185000,647.5,1,2014-08-03 00:00:00.000
17,177500,621.25,1,2014-08-04 00:00:00.000
18,107000,374.5,2,2014-08-06 00:00:00.000
19,150000,525,1,2014-08-07 00:00:00.000
20,200000,700,1,2014-08-15 00:00:00.000
21,205000,717.5,1,2014-08-27 00:00:00.000
22,147000,514.5,1,2014-09-09 00:00:00.000
23,143000,500.5,1,2014-09-15 00:00:00.000
24,136500,477.75,2,2014-09-20 00:00:00.000
25,180000,630,1,2014-09-28 00:00:00.000
26,135000,472.5,1,2014-10-01 00:00:00.000
27,137000,479.5,1,2014-10-10 00:00:00.000
28,120000,420,1,2014-10-13 00:00:00.000
29,168000,588,1,2014-10-26 00:00:00.000
30,170000,595,1,2014-10-30 00:00:00.000
31,187984,657.944,1,2014-11-12 00:00:00.000
32,143000,500.5,1,2014-11-26 00:00:00.000
33,130000,455,1,2014-12-01 00:00:00.000
34,200000,700,1,2014-12-04 00:00:00.000
35,200000,700,1,2014-12-23 00:00:00.000
36,185000,647.5,1,2015-01-03 00:00:00.000
37,220000,770,1,2015-01-06 00:00:00.000
38,200000,700,1,2015-01-24 00:00:00.000
39,300000,1050,1,2015-02-02 00:00:00.000
40,265000,927.5,1,2015-03-09 00:00:00.000
41,260000,910,1,2015-03-15 00:00:00.000
42,295000,1032.5,1,2015-03-27 00:00:00.000
43,250000,875,1,2015-04-04 00:00:00.000
44,298000,1043,1,2015-04-30 00:00:00.000
45,295000,1032.5,2,2015-05-01 00:00:00.000
46,299500,1048.25,1,2015-05-02 00:00:00.000
47,214286,750.001,1,2015-05-23 00:00:00.000
48,205000,717.5,1,2015-06-17 00:00:00.000
49,233333,816.6655000000001,1,2015-06-18 00:00:00.000
50,200000,700,1,2015-06-19 00:00:00.000
51,286000,1001,1,2015-06-28 00:00:00.000
52,330000,1155,1,2015-07-23 00:00:00.000
53,339999,1189.9965,1,2015-08-02 00:00:00.000
54,415000,1452.5,1,2015-10-09 00:00:00.000
55,350000,1225,1,2015-10-15 00:00:00.000
56,580000,2030,1,2015-10-18 00:00:00.000
57,375000,1312.5,1,2015-11-09 00:00:00.000
58,380000,1330,1,2015-12-25 00:00:00.000
59,450000,1575,1,2015-12-29 00:00:00.000
60,590000,2065,1,2016-01-02 00:00:00.000
61,590000,2065,1,2016-01-08 00:00:00.000
62,489000,1711.5,1,2016-02-19 00:00:00.000
63,575000,2012.5,1,2016-05-30 00:00:00.000
64,530000,1855,1,2016-07-23 00:00:00.000
65,1699999,5949.9965,1,2019-02-06 00:00:00.000
66,2200000,7700,1,2019-03-14 00:00:00.000
67,1300069,4550.2415,1,2020-05-16 00:00:00.000
68,300000,1050,1,2020-07-25 00:00:00.000
69,445000,1557.5,1,2020-10-22 00:00:00.000
70,2000000,7000,1,2020-12-12 00:00:00.000
71,12000,42,1,2020-12-14 00:00:00.000
72,10001,35.0035,1,2020-12-16 00:00:00.000
73,1980000,6930,1,2020-12-20 00:00:00.000
74,7500,26.25,1,2020-12-24 00:00:00.000
75,6000,21,1,2021-01-01 00:00:00.000
76,16000,56,1,2021-01-23 00:00:00.000
77,69,0.2415,1,2021-01-30 00:00:00.000
78,19500,68.25,1,2021-02-17 00:00:00.000
79,3400000,11900,1,2021-04-09 00:00:00.000
80,17300000,60550,1,2021-05-18 00:00:00.000
81,1,0.0035,1,2021-11-26 00:00:00.000
82,9444444,33055.554000000004,1,2022-06-24 00:00:00.000
83,17300000,60550,1,2022-10-20 00:00:00.000
84,14000000,49000,1,2023-05-22 00:00:00.000
85,14000000,49000,1,2023-05-23 00:00:00.000
86,21500000,75250,1,2023-07-02 00:00:00.000
87,18880000,66080,1,2023-07-11 00:00:00.000
88,21500000,75250,1,2023-08-04 00:00:00.000
