"index","average_price","devex value (USD)","volume","date"
0,11565,40.4775,24,2018-11-25 00:00:00.000
1,11607,40.6245,15,2018-11-26 00:00:00.000
2,12270,42.945,20,2018-11-27 00:00:00.000
3,12391,43.3685,17,2018-11-28 00:00:00.000
4,11974,41.909,14,2018-11-29 00:00:00.000
5,12226,42.791000000000004,26,2018-11-30 00:00:00.000
6,12675,44.362500000000004,22,2018-12-01 00:00:00.000
7,12422,43.477000000000004,19,2018-12-02 00:00:00.000
8,11449,40.0715,19,2018-12-03 00:00:00.000
9,10218,35.763,13,2018-12-04 00:00:00.000
10,12240,42.84,22,2018-12-05 00:00:00.000
11,13802,48.307,14,2018-12-06 00:00:00.000
12,12099,42.3465,4,2018-12-07 00:00:00.000
13,13810,48.335,14,2018-12-08 00:00:00.000
14,11896,41.636,25,2018-12-09 00:00:00.000
15,11629,40.7015,17,2018-12-10 00:00:00.000
16,12314,43.099000000000004,9,2018-12-11 00:00:00.000
17,9922,34.727000000000004,38,2018-12-12 00:00:00.000
18,11237,39.3295,22,2018-12-13 00:00:00.000
19,11611,40.6385,20,2018-12-14 00:00:00.000
20,13136,45.976,21,2018-12-15 00:00:00.000
21,10585,37.0475,27,2018-12-16 00:00:00.000
22,11916,41.706,17,2018-12-17 00:00:00.000
23,11621,40.673500000000004,12,2018-12-18 00:00:00.000
24,10686,37.401,20,2018-12-19 00:00:00.000
25,12076,42.266,18,2018-12-20 00:00:00.000
26,12326,43.141,25,2018-12-21 00:00:00.000
27,12945,45.3075,28,2018-12-22 00:00:00.000
28,12676,44.366,27,2018-12-23 00:00:00.000
29,13329,46.6515,58,2018-12-24 00:00:00.000
30,15574,54.509,112,2018-12-25 00:00:00.000
31,16069,56.2415,54,2018-12-26 00:00:00.000
32,15909,55.6815,44,2018-12-27 00:00:00.000
33,16859,59.0065,34,2018-12-28 00:00:00.000
34,16960,59.36,20,2018-12-29 00:00:00.000
35,15624,54.684000000000005,19,2018-12-30 00:00:00.000
36,15336,53.676,32,2018-12-31 00:00:00.000
37,14950,52.325,22,2019-01-01 00:00:00.000
38,14368,50.288000000000004,24,2019-01-02 00:00:00.000
39,13601,47.603500000000004,17,2019-01-03 00:00:00.000
40,14674,51.359,32,2019-01-04 00:00:00.000
41,13100,45.85,20,2019-01-05 00:00:00.000
42,14651,51.2785,23,2019-01-06 00:00:00.000
43,13878,48.573,21,2019-01-07 00:00:00.000
44,15121,52.923500000000004,13,2019-01-08 00:00:00.000
45,14415,50.4525,19,2019-01-09 00:00:00.000
46,13657,47.7995,21,2019-01-10 00:00:00.000
47,13555,47.4425,20,2019-01-11 00:00:00.000
